tconst	ordering	nconst	category	job	characters

tt0099462	1	nm0000433	actor	\N	"[""Barry Davis""]"

tt0101281	2	nm0253327	actor	\N	"[""Dag Sjöborg""]"

tt0101301	3	nm0256121	actor	\N	"[""Ethan O'Fallon""]"

tt0101635	3	nm0692018	actress	\N	"[""Curly Sue""]"

tt0102183	2	nm0032643	actress	\N	"[""Kathy""]"

tt0102566	2	nm0486627	actor	\N	"[""Jack""]"

tt0102748	4	nm0001960	actress	\N	"[""Romane""]"

tt0103064	3	nm0000411	actor	\N	"[""John Connor""]"

tt0103190	2	nm0518666	actress	\N	"[""Marguerite (Gachet)""]"

tt0103607	1	nm0837806	actor	\N	"[""Imran""]"

tt0104095	2	nm0666788	actress	\N	"[""Sascha Busch""]"

tt0104096	4	nm0399012	actor	\N	\N

tt0104187	1	nm0000276	actor	\N	"[""Dave""]"

tt0104382	2	nm0674338	actress	\N	"[""Hanna""]"

tt0104522	3	nm0280200	actor	\N	"[""Ossie""]"

tt0104522	4	nm0175860	actor	\N	"[""Tito""]"

tt0104592	3	nm0469315	actress	\N	"[""Ivana""]"

tt0104636	1	nm1669926	actor	\N	"[""Mitya""]"

tt0104673	1	nm0096044	actor	\N	"[""Lakki""]"

tt0104767	2	nm0702759	actor	\N	"[""Dennis""]"

tt0105166	1	nm0080324	actress	\N	"[""Radha""]"

tt0105181	4	nm0346994	actress	\N	"[""Magali""]"

tt0105271	2	nm0534866	actress	\N	"[""Roja""]"

tt0105315	3	nm0006433	actress	\N	"[""Jyoti""]"

tt0105361	2	nm0159527	actor	\N	"[""Salim""]"

tt0105445	2	nm0559838	actress	\N	"[""Josefine""]"

tt0105445	3	nm0611148	actor	\N	"[""Zacharias von Stern""]"

tt0105445	4	nm0385887	actor	\N	"[""Bartholomäus""]"

tt0105730	1	nm0100556	actor	\N	"[""Actor""]"

tt0105747	3	nm0200705	actress	\N	"[""Judit""]"

tt0105790	4	nm0912652	actor	\N	"[""Young Tom""]"

tt0105856	1	nm0151065	actress	\N	"[""Eva""]"

tt0106481	2	nm0220450	actress	\N	"[""Maeve""]"

tt0106498	1	nm0856917	actress	\N	"[""Lisa Herzog""]"

tt0106525	4	nm0060287	actress	\N	"[""Sole""]"

tt0106782	2	nm0470514	actress	\N	"[""Sabine""]"

tt0106995	3	nm0372049	actress	\N	\N

tt0107080	3	nm0111251	actress	\N	"[""Debbie Hay""]"

tt0107093	1	nm0440286	actress	\N	"[""Christina Papadopoulos""]"

tt0107093	2	nm0227317	actor	\N	"[""Nick Polides""]"

tt0107224	4	nm0747510	actress	\N	"[""Ángela"",""Luisa and Ramiro's daughter""]"

tt0107296	3	nm0856917	actress	\N	"[""Helene Kohler""]"

tt0107427	2	nm0001349	actress	\N	"[""Heather Lofton""]"

tt0107522	10	nm0860769	actress	\N	"[""Meg""]"

tt0107616	4	nm0000295	actress	\N	"[""Hero""]"

tt0107617	2	nm0523737	actress	\N	"[""Mui Age 10 #orphan # a little girl""]"

tt0107736	3	nm0845912	actress	\N	"[""Renko Urushiba""]"

tt0107755	1	nm0005351	actor	\N	"[""Ganesh"",""Jeffrey""]"

tt0107956	1	nm0004851	actress	\N	"[""Enza""]"

tt0107956	4	nm0502813	actor	\N	"[""Sebastiano""]"

tt0107994	4	nm0171499	actor	\N	"[""Julien""]"

tt0107995	3	nm0904903	actor	\N	"[""Kosti Holvisalo""]"

