nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles

nm0000103	Fairuza Balk	1974	\N	actress,soundtrack	tt0181875,tt0089908,tt0120586,tt0115963

nm0000106	Drew Barrymore	1975	\N	producer,actress,soundtrack	tt0120888,tt0343660,tt0151738,tt0120631

nm0000117	Neve Campbell	1973	\N	actress,producer,soundtrack	tt0134084,tt1262416,tt0120082,tt0117571

nm0000132	Claire Danes	1979	\N	actress,producer,soundtrack	tt0274558,tt0108872,tt1796960,tt0117509

nm0000138	Leonardo DiCaprio	1974	\N	actor,producer,writer	tt0120338,tt0993846,tt1375666,tt0407887

nm0000139	Cameron Diaz	1972	\N	actress,producer,soundtrack	tt0119738,tt0129387,tt0259711,tt0160127

nm0000170	Milla Jovovich	1975	\N	actress,soundtrack,producer	tt0432021,tt1220198,tt1220634,tt0119116

nm0000179	Jude Law	1972	\N	actor,producer,soundtrack	tt0134119,tt0376541,tt0346156,tt2278388

nm0000191	Ewan McGregor	1971	\N	actor,writer,soundtrack	tt0117951,tt0203009,tt0120915,tt1322269

nm0000192	Alyssa Milano	1972	\N	actress,producer,soundtrack	tt0158552,tt0116287,tt0088944,tt0086827

nm0000202	Ryan Phillippe	1974	\N	actor,producer,director	tt0375679,tt0139134,tt0202677,tt0280707

nm0000204	Natalie Portman	1981	\N	actress,producer,soundtrack	tt0434409,tt1619029,tt0947798,tt0376541

nm0000207	Christina Ricci	1980	\N	actress,producer,soundtrack	tt0114011,tt0119349,tt0112642,tt0462200

nm0000213	Winona Ryder	1971	\N	actress,producer,soundtrack	tt0172493,tt0097493,tt0110367,tt0099487

nm0000224	Alicia Silverstone	1976	\N	actress,producer,soundtrack	tt0106627,tt0112697,tt0124298,tt0118688

nm0000234	Charlize Theron	1975	\N	actress,producer,soundtrack	tt5610554,tt1735898,tt1392190,tt0340855

nm0000239	Liv Tyler	1977	\N	actress,producer,soundtrack	tt0120737,tt0482606,tt0167260,tt0120591

nm0000242	Mark Wahlberg	1971	\N	producer,actor,soundtrack	tt0407887,tt1637725,tt0964517,tt0118749

nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt1024648,tt0840361,tt0119217,tt2267998

nm0000274	David Arquette	1971	\N	producer,actor,director	tt0120082,tt0271367,tt0151738,tt0134084

nm0000276	Sean Astin	1971	\N	actor,producer,director	tt0167261,tt0167260,tt0120737,tt0089218

nm0000288	Christian Bale	1974	\N	actor,editorial_department,producer	tt6266538,tt1800241,tt0468569,tt0372784

nm0000295	Kate Beckinsale	1973	\N	actress,soundtrack	tt0452702,tt0338751,tt0320691,tt0401855

nm0000301	Thora Birch	1982	\N	actress,producer,soundtrack	tt0105112,tt0107120,tt0162346

nm0000327	Lacey Chabert	1982	\N	actress,soundtrack,producer	tt0120738,tt0377092,tt0821640,tt0277371

nm0000337	Rachael Leigh Cook	1979	\N	actress,producer	tt0331811,tt0385700,tt0160862,tt0208988

nm0000379	Kirsten Dunst	1982	\N	actress,producer,soundtrack	tt1527186,tt0422720,tt0145487,tt0110148

nm0000411	Edward Furlong	1977	\N	actor,producer,soundtrack	tt0103064,tt0107130,tt0120586,tt0165710

nm0000433	Corey Haim	1971	2010	actor,producer,soundtrack	tt0091445,tt1121931,tt0093437,tt0095519

nm0000439	Neil Patrick Harris	1973	\N	actor,soundtrack,producer	tt0460649,tt2267998,tt0120201,tt4834206

nm0000449	Natasha Henstridge	1974	\N	actress,producer,soundtrack	tt0114508,tt0190138,tt0120841,tt0228333

nm0000451	Gaby Hoffmann	1982	\N	actress,soundtrack,director	tt0097351,tt0116242,tt0114011,tt0098554

nm0000477	Mia Kirshner	1975	\N	actress	tt0330251,tt3520702,tt0387877

nm0000496	Juliette Lewis	1973	\N	actress,soundtrack,director	tt0110632,tt0101540,tt1322269,tt0116367

nm0000525	Heather Matarazzo	1982	\N	actress,director,producer	tt0247638,tt0498353,tt0332375,tt0114906

nm0000535	Rose McGowan	1973	\N	actress,soundtrack,producer	tt0158552,tt1077258,tt0462322,tt0117571

nm0000569	Gwyneth Paltrow	1972	\N	actress,soundtrack,producer	tt0116191,tt0138097,tt0120148,tt1300854

